domain,comparison,feature,feature_label,n_ref,n_cmp,ref_mean,cmp_mean,ref_std,cmp_std,var_ratio,p_dispersion,p_location,p_dispersion_fdr,p_location_fdr,disp_significant,loc_significant
essay,human_vs_gpt,sent_simple,Sentence type: SIMPLE,993,998,0.3937,0.5457,0.1539,0.1488,1.07,0.8549751834958431,8.393754221442627e-92,0.8747022157693265,3.6627291148113283e-91,False,True
essay,human_vs_gpt,sent_complex,Sentence type: COMPLEX,993,998,0.45,0.3203,0.1617,0.1406,1.324,0.0003361707633321945,9.46457221962091e-72,0.0007334634836338789,3.028663110278691e-71,True,True
essay,human_vs_gpt,sent_compound,Sentence type: COMPOUND,993,998,0.0725,0.0635,0.0691,0.0687,1.013,0.8564792529407989,9.62286872138257e-05,0.8747022157693265,0.00012830491628510092,False,True
essay,human_vs_gpt,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,993,998,0.055,0.027,0.062,0.0374,2.755,1.39509147597924e-25,3.179573453344376e-29,9.56634154957193e-25,6.359146906688752e-29,True,True
essay,human_vs_gpt,sent_other,Sentence type: OTHER,993,998,0.0288,0.0434,0.0613,0.0924,0.439,3.3103104041329e-05,0.42915932495848197,7.5664237808752e-05,0.45776994662238074,True,False
essay,human_vs_gpt,struct_loose,Sentence structure: LOOSE,993,998,0.4984,0.4814,0.1472,0.1337,1.212,0.004524030156866493,0.03369397410419095,0.007488049914813506,0.039446603829296725,True,True
essay,human_vs_gpt,struct_periodic,Sentence structure: PERIODIC,993,998,0.2495,0.25,0.132,0.1288,1.05,0.853414804652427,0.988553330328774,0.8747022157693265,0.988553330328774,False,False
essay,human_vs_gpt,struct_other,Sentence structure: OTHER,993,998,0.2521,0.2687,0.1414,0.1313,1.16,0.14171138618583834,0.0014363286033302184,0.2000631334388306,0.0017677890502525765,False,True
essay,human_vs_claude,sent_simple,Sentence type: SIMPLE,993,1000,0.3937,0.4838,0.1539,0.1571,0.96,0.15094040344883952,3.0781373480670224e-37,0.2070039818726942,6.715936032146231e-37,False,True
essay,human_vs_claude,sent_complex,Sentence type: COMPLEX,993,1000,0.45,0.4169,0.1617,0.1529,1.118,0.3970574228530629,3.4033039013725426e-06,0.4886860588960774,4.804664331349472e-06,False,True
essay,human_vs_claude,sent_compound,Sentence type: COMPOUND,993,1000,0.0725,0.0521,0.0691,0.0587,1.389,0.0007435843757593753,5.527172664371226e-14,0.0014276820014580004,9.148423720338582e-14,True,True
essay,human_vs_claude,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,993,1000,0.055,0.0356,0.062,0.0488,1.618,2.474815109944575e-07,1.08626542104008e-16,7.91940835182264e-07,1.8621692932115658e-16,True,True
essay,human_vs_claude,sent_other,Sentence type: OTHER,993,1000,0.0288,0.0117,0.0613,0.0375,2.674,8.292701942633216e-14,3.7362709050560836e-18,3.0619207172799567e-13,6.6422593867663705e-18,True,True
essay,human_vs_claude,struct_loose,Sentence structure: LOOSE,993,1000,0.4984,0.5069,0.1472,0.1352,1.185,0.0124968779456757,0.12049853267426405,0.01874531691851355,0.1314529447355608,True,False
essay,human_vs_claude,struct_periodic,Sentence structure: PERIODIC,993,1000,0.2495,0.2215,0.132,0.1187,1.236,0.0034036958442936645,4.009478206781039e-06,0.006051014834299848,5.498712969299711e-06,True,True
essay,human_vs_claude,struct_other,Sentence structure: OTHER,993,1000,0.2521,0.2716,0.1414,0.1338,1.118,0.25603780394891335,0.0003751740401328951,0.3321571510688605,0.0004739040506941833,False,True
reuter,human_vs_gpt,sent_simple,Sentence type: SIMPLE,1007,1018,0.2746,0.3935,0.1365,0.1606,0.722,1.7943197564560269e-06,9.268100738884254e-66,5.066314606464076e-06,2.7804302216652764e-65,True,True
reuter,human_vs_gpt,sent_complex,Sentence type: COMPLEX,1007,1018,0.4013,0.4492,0.1497,0.1566,0.914,0.6771193677694162,7.386075037143993e-14,0.7927251134861458,1.1817720059430388e-13,False,True
reuter,human_vs_gpt,sent_compound,Sentence type: COMPOUND,1007,1018,0.1451,0.0628,0.1044,0.0642,2.643,1.4118648627063146e-32,2.3646173755588653e-89,1.3553902681980619e-31,8.730894925140427e-89,True,True
reuter,human_vs_gpt,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,1007,1018,0.1581,0.0621,0.1007,0.0654,2.37,1.4395312466421965e-26,1.8572696004706067e-124,1.1516249973137572e-25,1.2735562974655588e-123,True,True
reuter,human_vs_gpt,sent_other,Sentence type: OTHER,1007,1018,0.0208,0.0323,0.0831,0.1328,0.392,0.01976283918284391,0.11806935316329116,0.028745947902318415,0.1314529447355608,True,False
reuter,human_vs_gpt,struct_loose,Sentence structure: LOOSE,1007,1018,0.4367,0.572,0.1449,0.1531,0.895,0.8356409701022773,5.725476672686152e-90,0.8747022157693265,2.290190669074461e-89,False,True
reuter,human_vs_gpt,struct_periodic,Sentence structure: PERIODIC,1007,1018,0.3736,0.2297,0.1485,0.1219,1.485,6.799228864485149e-08,3.1653529758601447e-102,2.331164182109194e-07,1.6881882537920772e-101,True,True
reuter,human_vs_gpt,struct_other,Sentence structure: OTHER,1007,1018,0.1897,0.1983,0.1306,0.1478,0.781,0.7533910633006404,0.4449084316106139,0.8409946753123427,0.46425227646324924,False,False
reuter,human_vs_claude,sent_simple,Sentence type: SIMPLE,1007,1018,0.2746,0.4553,0.1365,0.157,0.756,1.0262719679163134e-05,2.366487654176185e-130,2.463052722999152e-05,2.2718281480091374e-129,True,True
reuter,human_vs_claude,sent_complex,Sentence type: COMPLEX,1007,1018,0.4013,0.3775,0.1497,0.1501,0.995,0.8803895773526962,0.00021945338133215348,0.8803895773526962,0.0002846962784849558,False,True
reuter,human_vs_claude,sent_compound,Sentence type: COMPOUND,1007,1018,0.1451,0.0806,0.1044,0.0688,2.302,1.9753923482945708e-23,2.2816846533785544e-51,1.1852354089767426e-22,5.764255966430032e-51,True,True
reuter,human_vs_claude,sent_complex_compound,Sentence type: COMPLEX-COMPOUND,1007,1018,0.1581,0.0531,0.1007,0.0563,3.194,4.359804529058387e-40,4.266032560437721e-147,6.97568724649342e-39,5.119239072525266e-146,True,True
reuter,human_vs_claude,sent_other,Sentence type: OTHER,1007,1018,0.0208,0.0336,0.0831,0.1264,0.432,0.007223066234410531,0.004644071123613075,0.011184102556506629,0.00557288534833569,True,True
reuter,human_vs_claude,struct_loose,Sentence structure: LOOSE,1007,1018,0.4367,0.5208,0.1449,0.1531,0.896,0.3391654920891783,4.506804174077739e-39,0.42841956895475153,1.0301266683606261e-38,False,True
reuter,human_vs_claude,struct_periodic,Sentence structure: PERIODIC,1007,1018,0.3736,0.2145,0.1485,0.109,1.858,5.93872390584532e-18,5.324960555935213e-129,2.5914431589143215e-17,4.2599684447481706e-128,True,True
reuter,human_vs_claude,struct_other,Sentence structure: OTHER,1007,1018,0.1897,0.2647,0.1306,0.1583,0.681,0.0003812209122600454,4.419553777259569e-35,0.0007955914690644425,9.223416578628665e-35,True,True
wp,human_vs_gpt,sent_simple,Sentence type: SIMPLE,1000,1000,0.4018,0.407,0.1408,0.1191,1.399,3.0249291293719725e-07,0.7803634272839621,9.074787388115918e-07,0.7969669044602167,True,False
wp,human_vs_gpt,sent_complex,Sentence type: COMPLEX,1000,1000,0.2477,0.378,0.1209,0.1194,1.027,0.7415949891910029,8.857531254311751e-117,0.8409946753123427,5.314518752587052e-116,False,True
wp,human_vs_gpt,sent_compound,Sentence type: COMPOUND,1000,1000,0.1102,0.1299,0.0727,0.0883,0.677,0.0007256807853004781,1.250408567846268e-07,0.0014276820014580004,1.8756128517694023e-07,True,True
